year,month,wind_mean,precip_mm_mean,precip_mmh_mean,rh_mean,tair_k_mean,qair_kgkg_mean,lwnet_wm2_mean,soilm_surface_kgm2_mean,soilm_total_kgm2_mean,wind_anom_mean,precip_anom_mean,rh_anom_mean,qair_anom_mean,tair_anom_mean,lwnet_anom_mean,soilm_surface_anom_mean,fire_detections
2000,11,3.7807105,15.613931,0.021686014,40.285564,293.919,0.006894636,-96.4953,23.992184,654.07214,0.14639804,-9.293376,-11.799235,-0.0016958832,1.0203606,-11.025488,-2.8165083,50
2000,12,3.940721,7.4128184,0.009963466,31.239573,290.90814,0.0044506276,-109.262184,20.303776,614.43054,0.06653927,-2.0908082,-15.921611,-0.002124589,0.8922744,-16.595112,-2.218427,175
2001,1,4.082502,9.388291,0.012618672,33.93826,289.63168,0.0047389376,-106.66332,19.598595,587.58704,0.0646613,-3.1461382,-9.74016,-0.0009933714,0.5254107,-10.147787,-1.1265204,267
2001,2,4.2476697,8.773135,0.013055261,27.716434,292.93726,0.004446404,-120.156265,18.065863,563.91364,0.032973696,-6.662726,-11.624022,-0.0014785101,1.0065299,-17.05371,-2.0164082,1269
2001,3,4.258088,17.329584,0.02329245,30.10543,296.35046,0.0060459715,-115.73078,18.208536,549.9129,-0.0009622384,-3.6993737,-5.1211734,-0.00059485517,0.22933482,-5.008295,-1.0997947,2747
2001,4,4.385371,34.684452,0.048172854,33.99348,299.62985,0.00782161,-113.93928,20.386808,549.43756,-0.09608527,-2.0697765,-1.1628678,-0.0003308816,-0.40036792,-1.6783547,-0.06498156,1196
2001,5,5.4301047,56.807148,0.07635369,41.252888,302.1522,0.011185488,-102.90401,21.196533,560.02216,0.34759128,-4.9292192,1.0387404,0.0007082732,0.16484696,1.1272782,-0.63032675,318
2001,6,5.8389235,177.18806,0.24609452,62.55546,299.5835,0.014960843,-70.28603,28.583895,608.7549,0.3034577,17.714258,6.5227113,0.00082604866,-1.2969793,6.793561,1.205808,20
2001,7,6.0038643,261.82193,0.35191116,73.19952,298.52274,0.016477782,-54.90121,33.630356,696.5781,0.32998553,-13.082051,1.567053,5.1940217e-05,-0.38505313,1.750827,0.051180445,13
2001,8,5.1018314,211.10127,0.28373826,74.19229,298.1276,0.01632527,-53.7704,35.396706,751.6243,-0.09884395,-45.038948,-1.7330976,-0.00030902782,0.04748027,-2.6100676,-0.60336226,11
2001,9,3.7518015,121.39168,0.16859953,64.14116,297.95535,0.013964745,-65.182335,31.77554,733.11334,-0.5191042,-58.874866,-8.02967,-0.0013620774,0.5266616,-8.909151,-3.9339943,10
2001,10,3.6426818,111.144554,0.14938785,58.233253,296.44525,0.011655675,-74.46041,31.987526,730.31,0.15441327,31.632223,-1.1422282,3.480906e-05,0.48597032,-0.9077479,-0.04696458,7
2001,11,3.6652627,20.672121,0.028711276,47.886147,293.46423,0.008128123,-90.657166,26.151705,677.66187,0.030950082,-4.235188,-4.198646,-0.00046239537,0.56562215,-5.187364,-0.6569848,34
2001,12,3.7812164,7.0113387,0.009423843,39.782192,290.50388,0.00555899,-99.11145,21.765203,632.64886,-0.09296547,-2.4922876,-7.378994,-0.0010162266,0.4880373,-6.444376,-0.7569993,115
2002,1,3.9763954,11.347205,0.01525162,41.84185,289.34714,0.0057117674,-98.53342,20.257196,601.994,-0.041445315,-1.1872247,-1.8365709,-2.0541605e-05,0.24088326,-2.0178761,-0.46792164,151
2002,2,4.2963877,13.900825,0.020685751,37.844406,291.73602,0.0057914853,-104.794136,20.020033,580.0254,0.081691295,-1.5350367,-1.4960495,-0.00013342894,-0.1947142,-1.6915796,-0.06223782,521
2002,3,4.194195,16.144224,0.021699227,30.616865,296.6801,0.006007661,-117.00753,18.61322,560.5111,-0.064855725,-4.884731,-4.60974,-0.00063316553,0.55897236,-6.285034,-0.69511074,1331
2002,4,4.6451344,33.558147,0.046608545,31.306652,300.63824,0.0074254195,-120.16008,19.78433,556.15643,0.16367854,-3.1960785,-3.849695,-0.0007270727,0.6080574,-7.899153,-0.66745985,877
2002,5,5.754417,62.80853,0.08442006,38.05299,302.63635,0.010304239,-109.686,20.981476,563.2893,0.6719036,1.0721598,-2.161162,-0.00017297678,0.6490181,-5.6547103,-0.8453855,728
2002,6,5.3614883,150.94173,0.20964126,54.360973,301.19772,0.01395873,-80.45773,27.27727,597.25946,-0.17397715,-8.532078,-1.6717767,-0.00017606569,0.31723097,-3.3781412,-0.10082071,48
2002,7,6.2952304,136.19891,0.18306307,60.72501,300.1979,0.014722776,-70.996864,27.661467,642.9371,0.62135184,-138.70503,-10.907454,-0.0017030649,1.2901312,-14.3448305,-5.917707,16
2002,8,5.463445,247.1987,0.3322563,71.19572,298.49158,0.0157977,-55.592506,33.153847,699.93713,0.2627701,-8.941539,-4.729674,-0.0008365982,0.4115017,-4.4321733,-2.8462222,14
2002,9,4.4830823,124.223946,0.17253324,66.80902,297.34518,0.014044879,-65.45785,32.326397,721.1374,0.21217608,-56.042595,-5.3618093,-0.0012819434,-0.08352299,-9.184672,-3.3831396,8
2002,10,3.5018628,70.76178,0.095109925,52.685295,296.5017,0.010502706,-82.83225,28.361391,682.1022,0.013594065,-8.750547,-6.6901903,-0.00111816,0.54241,-9.279582,-3.6730986,69
2002,11,3.623603,20.404652,0.02833979,42.623547,293.64764,0.0073045692,-93.52455,24.322807,644.8841,-0.010709669,-4.5026565,-9.461246,-0.0012859502,0.7490482,-8.054744,-2.485883,173
2002,12,3.7449849,4.89209,0.006575389,39.2993,291.0991,0.005726297,-99.16562,20.342978,604.36975,-0.12919661,-4.6115365,-7.861884,-0.00084891875,1.0832534,-6.498539,-2.1792262,354
