year,month,tair_national_mean,qair_national_mean,rh_national_mean,wind_national_mean,precip_national_mean,lwnet_national_mean,soilm_national_mean
2000,11,293.919,0.006894636,40.285564,3.7807105,15.613931,-96.4953,23.992184
2000,12,290.90814,0.0044506276,31.239573,3.940721,7.4128184,-109.262184,20.303776
2001,1,289.63168,0.0047389376,33.93826,4.082502,9.388291,-106.66332,19.598595
2001,2,292.93726,0.004446404,27.716434,4.2476697,8.773135,-120.156265,18.065863
2001,3,296.35046,0.0060459715,30.10543,4.258088,17.329584,-115.73078,18.208536
2001,4,299.62985,0.00782161,33.99348,4.385371,34.684452,-113.93928,20.386808
2001,5,302.1522,0.011185488,41.252888,5.4301047,56.807148,-102.90401,21.196533
2001,6,299.5835,0.014960843,62.55546,5.8389235,177.18806,-70.28603,28.583895
2001,7,298.52274,0.016477782,73.19952,6.0038643,261.82193,-54.90121,33.630356
2001,8,298.1276,0.01632527,74.19229,5.1018314,211.10127,-53.7704,35.396706
2001,9,297.95535,0.013964745,64.14116,3.7518015,121.39168,-65.182335,31.77554
2001,10,296.44525,0.011655675,58.233253,3.6426818,111.144554,-74.46041,31.987526
2001,11,293.46423,0.008128123,47.886147,3.6652627,20.672121,-90.657166,26.151705
2001,12,290.50388,0.00555899,39.782192,3.7812164,7.0113387,-99.11145,21.765203
2002,1,289.34714,0.0057117674,41.84185,3.9763954,11.347205,-98.53342,20.257196
2002,2,291.73602,0.0057914853,37.844406,4.2963877,13.900825,-104.794136,20.020033
2002,3,296.6801,0.006007661,30.616865,4.194195,16.144224,-117.00753,18.61322
2002,4,300.63824,0.0074254195,31.306652,4.6451344,33.558147,-120.16008,19.78433
2002,5,302.63635,0.010304239,38.05299,5.754417,62.80853,-109.686,20.981476
2002,6,301.19772,0.01395873,54.360973,5.3614883,150.94173,-80.45773,27.27727
2002,7,300.1979,0.014722776,60.72501,6.2952304,136.19891,-70.996864,27.661467
2002,8,298.49158,0.0157977,71.19572,5.463445,247.1987,-55.592506,33.153847
2002,9,297.34518,0.014044879,66.80902,4.4830823,124.223946,-65.45785,32.326397
2002,10,296.5017,0.010502706,52.685295,3.5018628,70.76178,-82.83225,28.361391
2002,11,293.64764,0.0073045692,42.623547,3.623603,20.404652,-93.52455,24.322807
2002,12,291.0991,0.005726297,39.2993,3.7449849,4.89209,-99.16562,20.342978
2003,1,289.64606,0.005215335,37.444004,4.0170913,9.238904,-101.71151,19.074095
2003,2,291.98514,0.0068557733,44.082756,4.25604,21.159525,-98.154785,20.155294
2003,3,295.60516,0.0065338355,35.813488,4.3437195,21.865995,-112.37721,19.331362
2003,4,300.53384,0.00798214,33.59964,4.562748,32.829872,-116.00544,19.912132
2003,5,302.01395,0.008703289,33.956642,5.397861,39.145996,-116.69345,20.287693
2003,6,301.5324,0.013396088,51.077362,5.837361,147.71379,-83.43123,25.190973
2003,7,298.67307,0.016816098,73.626335,5.302667,272.11688,-54.40955,34.307343
2003,8,298.07513,0.01677931,76.39145,5.1482224,217.00864,-51.19573,35.026154
2003,9,297.34607,0.015712164,74.33367,4.5705934,175.99341,-53.657303,34.586807
2003,10,295.64972,0.011571016,59.699768,3.658434,99.61923,-75.111725,32.202923
2003,11,292.61234,0.008360736,50.86172,3.6037157,17.172441,-89.63825,27.213524
2003,12,289.68732,0.006712902,49.962128,3.953747,7.3213525,-91.96796,22.568565
2004,1,288.8777,0.00626707,48.8648,3.9224072,14.524036,-92.07736,21.039206
2004,2,291.6751,0.0054002614,36.084538,4.0151596,8.034092,-110.809105,20.226501
2004,3,297.92474,0.0057236087,27.913784,4.3944893,9.8334875,-125.69119,17.570797
2004,4,300.62634,0.008542148,35.37137,4.750502,53.58602,-112.189224,20.787697
2004,5,301.28427,0.011065898,43.465588,5.3008914,74.72089,-100.73808,22.25843
2004,6,300.35806,0.014153881,57.4279,5.9588847,159.40546,-77.28862,27.284729
2004,7,298.91187,0.015692784,68.84782,5.407014,239.68887,-60.772022,32.006535
2004,8,297.8427,0.016544696,76.17868,5.7901425,237.81189,-52.06444,35.344387
2004,9,297.63617,0.014661338,68.171745,3.9481368,143.30733,-60.236687,33.31239
2004,10,295.1588,0.011190131,59.750706,3.45926,80.72332,-73.14237,31.991646
2004,11,293.07553,0.007828993,47.35112,3.4992826,18.93957,-89.10724,25.33193
2004,12,290.5487,0.0061340122,43.407795,3.8691347,4.5574613,-96.960915,20.8914
2005,1,289.02606,0.006018486,46.029247,4.0448923,16.408024,-92.69706,20.01289
2005,2,291.64636,0.006368371,43.010265,4.5030746,16.611485,-99.18435,20.886522
2005,3,296.3909,0.007541902,39.251934,4.243725,28.830898,-105.597046,19.990946
2005,4,299.23422,0.00763674,34.17415,4.318708,38.94663,-113.134674,20.455929
2005,5,301.39575,0.009678486,38.790356,4.743961,53.75808,-107.089134,21.523388
2005,6,302.04276,0.012978312,48.861122,5.5188837,123.788795,-86.42769,25.054195
2005,7,298.5534,0.016706416,74.13489,5.7269297,313.40503,-54.378773,34.31509
2005,8,298.25784,0.016203914,73.483574,5.326608,200.83492,-55.576057,34.631706
2005,9,297.6709,0.015660051,72.51199,4.673252,197.80319,-54.687794,35.776608
2005,10,295.69354,0.011799251,60.853,3.5547345,115.14075,-73.20284,32.260685
2005,11,292.04788,0.0074349414,47.840603,3.5748649,26.104515,-92.138275,27.375868
2005,12,289.5386,0.005976533,42.88641,3.7477286,9.809149,-96.28279,22.962473
2006,1,289.47736,0.0052185166,39.76662,4.1984687,10.202515,-100.45622,20.775944
2006,2,294.42307,0.005447831,33.230724,3.9609897,9.917416,-110.72177,18.954666
2006,3,295.42007,0.0072091483,38.246494,4.0342026,24.814568,-106.30764,20.30633
2006,4,299.8016,0.007862546,33.65878,4.349871,34.836693,-114.775986,20.090145
2006,5,302.0112,0.011487366,43.16584,4.91668,74.61479,-98.913025,22.195164
2006,6,300.19495,0.014048736,57.24659,4.9728866,165.39062,-76.70282,27.717983
2006,7,298.86725,0.016585214,72.35115,6.2422833,269.83145,-56.076893,33.403435
2006,8,297.78864,0.016603664,77.29077,5.870946,263.47873,-49.93144,36.10719
2006,9,297.38818,0.015340169,72.35285,4.22849,181.85957,-56.383835,35.800114
2006,10,296.29904,0.011850272,59.257168,3.4408338,60.912872,-73.511765,31.290535
2006,11,292.86584,0.009224946,56.053925,3.4428551,35.71028,-79.41467,27.502365
2006,12,290.1156,0.0068971063,49.21447,3.954047,7.8273773,-91.61514,22.44572
2007,1,289.63647,0.0051528327,37.54848,3.9582157,5.3034415,-102.82621,19.52055
2007,2,291.58762,0.006775862,45.6167,4.120327,28.146887,-96.873955,21.140865
2007,3,295.2515,0.0067858463,37.4536,4.4264216,17.636396,-111.13291,19.521141
2007,4,300.75137,0.008202731,33.862885,4.32654,38.389126,-116.643074,19.859905
2007,5,302.0013,0.010712794,40.829384,4.863228,58.69649,-103.81675,21.272532
2007,6,300.92365,0.014704056,57.43983,5.5303025,187.57222,-73.517784,28.52243
2007,7,298.7458,0.016620679,72.967026,5.6986327,286.83676,-56.43044,33.8875
2007,8,298.0941,0.016707879,76.21433,4.9827433,264.2535,-50.937637,36.46196
2007,9,297.48743,0.015669161,73.6013,4.234853,218.6099,-52.972897,36.768497
2007,10,295.3335,0.01029418,54.692196,3.4739835,69.53896,-79.70427,31.935913
2007,11,293.06696,0.00819289,49.08997,3.3506186,17.003048,-90.93734,26.96784
2007,12,289.70096,0.006526502,46.888775,4.1352797,12.971605,-91.571754,22.40312
2008,1,288.68167,0.005364995,42.407375,4.331613,15.203809,-96.14389,20.466127
2008,2,290.2855,0.005337981,37.64517,4.1478143,10.30245,-106.29591,20.35459
2008,3,296.57843,0.006647383,34.50165,3.90046,26.343794,-110.68999,19.176094
2008,4,299.39194,0.007981346,35.449875,4.2676067,31.528952,-114.28908,21.021936
2008,5,301.59195,0.010389868,40.279762,5.2629037,46.093014,-104.80427,20.502005
2008,6,299.54312,0.015311593,64.0625,5.45019,195.27724,-66.326935,29.307152
2008,7,298.47382,0.016503526,73.50584,5.3185277,255.47931,-55.698704,33.691277
2008,8,297.64752,0.016723992,77.77458,4.982393,272.20996,-49.778652,37.005043
2008,9,297.01492,0.015233658,72.860115,4.1658635,168.03285,-57.56025,35.848587
2008,10,295.99716,0.011722915,59.720474,3.2683349,57.340855,-76.17742,31.315315
2008,11,292.88855,0.008508753,51.540104,3.7257204,27.294964,-88.57152,25.64137
2008,12,291.03406,0.0072876215,50.146053,3.584408,9.354902,-87.94917,23.131998
2009,1,290.28897,0.006472998,47.06944,3.9899092,15.054598,-92.32558,21.305265
2009,2,292.88794,0.0056021907,35.644104,4.227816,11.5219555,-108.971275,19.555044
2009,3,296.69467,0.0059911082,31.079813,4.1248555,18.046051,-114.27977,18.710049
2009,4,300.16022,0.007081823,30.870075,4.7050557,27.776926,-119.0963,20.026203
2009,5,301.99173,0.0104982,39.895447,4.994114,63.305977,-103.231735,21.924335
2009,6,301.46774,0.012683388,49.48302,5.4467926,105.36246,-87.74706,24.788853
2009,7,299.20667,0.016236499,69.27908,5.9967384,285.59717,-58.862083,33.194942
2009,8,298.6265,0.01631907,71.86179,4.9840403,222.86322,-56.264713,32.71304
2009,9,297.81662,0.015098665,69.10385,4.2922173,157.34914,-61.091038,34.69798
2009,10,295.81674,0.010727031,55.234955,3.7884378,73.59852,-79.66718,30.495045
2009,11,292.61652,0.009084587,55.19651,3.7854202,41.497124,-81.04045,26.279766
2009,12,290.11658,0.0071539017,50.45692,3.6457312,9.518529,-86.480896,22.493315
2010,1,289.5174,0.0057038786,41.297337,3.8440742,9.141833,-98.99795,20.774517
2010,2,292.1584,0.006003017,39.20506,4.14509,16.636429,-100.519554,19.755526
2010,3,298.12247,0.00643144,30.6785,4.453858,19.118977,-115.87281,18.740246
2010,4,301.54593,0.007914798,32.43634,4.8435526,41.261303,-115.43831,19.576653
2010,5,302.48892,0.010749994,40.757427,5.257326,73.980606,-101.89206,22.859335
2010,6,301.22467,0.01366276,53.67969,5.3946123,145.69455,-80.7796,26.64215
2010,7,298.8691,0.016673842,72.7239,5.236856,305.54117,-55.203407,34.620907
2010,8,298.09305,0.01716742,78.33597,4.5166025,309.7645,-47.34682,38.330112
2010,9,296.96536,0.015767992,76.16946,4.1591783,225.05637,-51.134377,38.740223
2010,10,295.87283,0.0128919305,65.172844,3.6136272,85.64987,-67.24159,33.901917
2010,11,293.16614,0.010957061,63.62721,3.4714766,52.90102,-70.50599,30.07915
2010,12,289.1293,0.0070788427,51.66406,3.6857803,15.681309,-89.94654,24.939072
2011,1,287.96878,0.00549486,44.07888,4.025456,8.983452,-98.039406,21.882053
2011,2,291.3568,0.0063606207,43.452057,4.1496058,19.41428,-98.65617,20.421555
2011,3,296.12314,0.006202692,33.209553,4.4430776,16.83206,-114.52869,19.255846
2011,4,298.89893,0.008287665,36.969425,4.0099487,42.29339,-106.55936,21.371107
2011,5,302.04102,0.01100254,41.435844,4.9288416,59.570324,-100.747795,22.183525
2011,6,300.54822,0.014504717,57.80257,5.9005094,166.3131,-74.81188,27.444624
2011,7,298.51538,0.016413618,72.92493,5.3118625,274.29907,-55.453648,34.47199
2011,8,297.8371,0.016835738,77.46978,4.9173255,309.2538,-47.878742,37.834354
2011,9,297.01288,0.016018035,76.88375,4.7051287,214.51733,-52.10721,37.944103
2011,10,295.84506,0.011727053,59.821903,3.2415946,49.901844,-73.57233,31.720156
2011,11,293.14774,0.008785322,52.981598,3.6638322,20.17709,-86.732864,25.304201
2011,12,290.10284,0.0062907506,44.565952,3.8609211,6.78072,-97.45996,21.383247
2012,1,288.29376,0.0061041988,48.395317,4.0823736,17.742496,-92.724815,21.729324
2012,2,291.10577,0.0051365937,35.92632,4.568448,11.246379,-106.230316,19.455627
2012,3,295.69238,0.0052131414,28.875036,4.5500603,13.179677,-121.53617,17.856829
2012,4,299.7441,0.008578766,37.347595,4.4409027,50.74198,-104.72327,21.265568
2012,5,301.9512,0.009671421,37.64555,5.1044955,40.998985,-107.05739,21.090572
2012,6,301.56418,0.013056,50.46066,6.297563,123.6993,-82.8382,24.68003
2012,7,299.25546,0.016180534,69.39164,5.7214103,286.35532,-58.204903,33.01966
2012,8,298.05548,0.016582645,76.04355,5.1903353,290.02432,-49.66752,36.27148
2012,9,297.13297,0.015647393,75.064545,4.426314,207.44955,-52.488567,37.67019
2012,10,295.33835,0.01108507,58.645123,3.548108,73.31841,-75.07375,32.096615
2012,11,292.20966,0.008322615,52.242573,3.862562,31.150084,-86.509735,26.874222
2012,12,290.04935,0.0065537933,46.464504,4.2917805,9.335019,-93.56073,21.87057
2013,1,288.7253,0.0055666915,42.41401,4.222956,10.411984,-98.39515,20.278526
2013,2,291.50293,0.006706714,45.255997,4.4449973,27.815058,-93.82308,21.479916
2013,3,296.14368,0.0065186257,34.505043,4.442343,18.735395,-110.94714,19.6691
2013,4,299.4451,0.008570036,37.513557,4.5313196,29.880123,-108.05324,20.058725
2013,5,302.24197,0.010030524,38.633747,5.609745,63.980965,-106.9453,21.363203
2013,6,299.89087,0.015303812,63.127605,5.6549735,243.77373,-67.18252,31.132006
2013,7,298.4573,0.016824188,74.93194,5.789485,293.20715,-53.302746,36.00188
2013,8,297.70114,0.016680596,77.98719,5.060262,266.24805,-48.854862,37.51265
2013,9,297.41855,0.015463842,72.69795,4.0906653,158.35492,-56.004513,35.91469
2013,10,295.66135,0.013351104,68.93408,3.8925726,130.26141,-63.2742,35.285805
2013,11,291.9633,0.008800643,55.602528,3.6560903,15.706235,-84.46788,28.505655
2013,12,289.51053,0.0068774186,50.834003,3.8586743,6.763177,-92.70449,23.103733
2014,1,288.7155,0.0068187937,52.451916,4.164027,16.90101,-88.17749,21.531185
2014,2,290.513,0.0064449613,45.52161,4.2964644,18.213884,-95.81017,20.63979
2014,3,294.77353,0.0073189884,41.13907,4.242262,25.494759,-100.372055,20.864302
2014,4,299.8945,0.0076937946,33.25414,4.303803,22.73538,-113.0507,19.52996
2014,5,301.58725,0.010496869,41.16227,4.9557176,67.32658,-100.24814,22.288532
2014,6,302.29736,0.0133671975,49.385815,6.033627,103.583145,-85.064735,25.179379
2014,7,299.68378,0.015887486,66.59411,5.9690113,274.30017,-59.906277,31.905872
2014,8,298.29144,0.016226962,73.33412,5.0607553,241.40451,-53.75639,35.070404
2014,9,297.2092,0.015236544,72.79023,4.635772,190.8796,-57.11096,35.9724
2014,10,296.028,0.011640779,59.83978,3.377621,67.516945,-72.72236,30.565935
2014,11,293.21103,0.008063291,48.327656,3.7072105,19.895996,-86.82117,26.328337
2014,12,289.6137,0.0059567364,42.992947,4.117227,9.38542,-94.78105,21.910002
2015,1,288.6801,0.0062135905,48.18076,4.1305637,13.259911,-93.70386,20.888521
2015,2,292.23184,0.006014441,39.773296,4.1393733,14.0599985,-101.92101,19.707493
2015,3,294.97192,0.007731241,42.796593,4.2881804,39.536278,-99.05065,20.482658
2015,4,298.58145,0.009590359,43.47141,4.3782334,48.21079,-98.89376,22.50414
2015,5,302.0896,0.010354774,40.212048,4.9345574,62.64694,-103.29522,22.766762
2015,6,300.5008,0.0141343735,57.204277,5.475945,173.5642,-75.11721,28.006737
2015,7,298.97577,0.01637055,71.05508,5.9079266,249.12563,-58.116524,32.182034
2015,8,298.24554,0.016494574,74.75558,5.057434,221.85022,-53.066727,35.48681
2015,9,297.71835,0.014469963,67.35232,4.1954637,140.63101,-61.812023,33.513084
2015,10,296.9195,0.010936257,53.40845,3.274534,45.984573,-77.5303,29.061615
2015,11,293.90396,0.008933499,51.882393,3.7786047,39.35785,-80.152466,25.720716
2015,12,290.7702,0.0064075645,44.339878,3.877959,10.7539425,-93.31849,21.903034
2016,1,290.20288,0.0055154953,40.066334,3.6081836,9.17249,-97.767586,20.189146
2016,2,293.2525,0.0061681475,36.919056,4.1327567,10.510027,-104.3872,18.919487
2016,3,297.18756,0.007268675,36.469112,4.1511703,25.169277,-106.03588,19.49667
2016,4,301.07864,0.008303254,34.546406,4.976566,32.102787,-111.99268,19.82357
2016,5,302.35703,0.011136118,41.751236,5.110859,76.47113,-100.00994,22.521423
2016,6,301.21786,0.014406911,56.619823,5.1135297,150.67754,-75.822815,27.744297
2016,7,298.64417,0.016845535,74.5739,5.4591775,336.75833,-52.89757,35.559715
2016,8,297.94888,0.016752442,77.13093,5.2532663,244.43135,-50.23669,36.562077
2016,9,297.27527,0.01543029,73.56039,4.3970246,187.55016,-54.837772,36.073284
2016,10,295.97958,0.011515499,58.82027,3.574029,55.966934,-75.11699,32.824017
2016,11,292.93912,0.0074894405,45.93909,3.6191967,11.912555,-94.40622,25.264196
2016,12,291.0944,0.006177856,42.04293,3.8350134,8.034109,-99.353455,21.18465
2017,1,289.45856,0.0058438284,44.936752,4.0019364,15.575547,-94.988945,19.677794
2017,2,292.73108,0.005430353,35.562706,4.2295265,9.927079,-109.14573,19.596067
2017,3,295.82727,0.006466307,35.87052,4.303922,19.178015,-111.44922,18.91156
2017,4,300.76492,0.007814569,33.575867,5.0406094,35.145363,-119.346634,19.43416
2017,5,302.48895,0.01077646,40.750202,4.695615,66.074326,-101.44849,22.10139
2017,6,300.75903,0.014743135,58.458652,5.1972766,170.6993,-73.29837,28.452219
2017,7,298.63235,0.01670979,74.157684,5.791306,313.63135,-53.72781,34.556305
2017,8,298.10437,0.016705252,76.07196,4.9270263,244.9015,-51.27441,36.119156
2017,9,297.72543,0.01544363,71.59207,3.7347171,173.89772,-55.2669,36.545883
2017,10,296.83698,0.011803002,57.68296,3.2568035,98.29733,-72.06591,33.04722
2017,11,292.90155,0.008404202,50.787395,3.5429542,17.347332,-86.1454,26.983541
2017,12,290.356,0.0065528387,46.395775,3.9723706,10.272527,-89.90358,22.998333
2018,1,289.6761,0.004939251,36.405216,3.6931627,7.114383,-102.631355,20.366684
2018,2,292.8005,0.0056325505,36.14429,3.9585998,14.197681,-101.403854,20.193281
2018,3,297.10364,0.006225319,31.540264,4.0793056,15.094184,-113.65268,18.536392
2018,4,300.1377,0.0085257,36.29576,4.3364487,33.47122,-111.01697,20.81055
2018,5,301.84106,0.010548092,41.330997,4.763578,69.66387,-103.027,22.552727
2018,6,301.01477,0.014527061,56.91679,5.6764297,171.81349,-74.70604,27.798964
2018,7,298.8184,0.016656078,72.8462,5.8685956,297.6074,-53.517548,34.708786
2018,8,297.96848,0.016602278,76.364174,5.6875625,272.9078,-49.670403,36.395836
2018,9,297.17682,0.014884562,71.42659,4.4362683,143.55818,-58.175774,35.20343
2018,10,296.1453,0.010486443,53.583996,3.4482362,46.5714,-79.202545,30.19111
2018,11,293.48453,0.008072579,48.411793,3.624803,16.995035,-87.74949,24.171041
2018,12,289.5714,0.0062434957,45.474255,3.7965708,10.055267,-93.93897,21.684498
2019,1,288.70798,0.005047751,40.864326,4.019918,14.414572,-99.07806,20.58454
2019,2,291.28055,0.0060693757,42.137466,4.353281,25.819088,-96.59154,20.740616
2019,3,295.14178,0.006673262,37.442673,4.288932,15.112104,-107.3924,19.43935
2019,4,300.5945,0.0083237,35.35709,4.294093,33.69668,-112.497086,20.789036
2019,5,302.02563,0.009909156,38.420185,5.0045314,55.957924,-107.456184,21.56065
2019,6,302.0842,0.013540384,50.669373,5.2031956,127.11227,-82.40117,26.349123
2019,7,299.3485,0.016613504,70.499115,5.749451,274.74698,-56.938293,32.488937
2019,8,298.15265,0.017052297,77.31772,5.361184,286.97757,-49.12831,36.649868
2019,9,297.5059,0.01660531,77.45425,4.385901,271.93976,-48.44912,37.827095
2019,10,295.20383,0.013191603,70.0401,3.241524,105.24425,-59.53366,36.19317
2019,11,292.51874,0.010860483,67.17305,3.5845215,21.50859,-70.30025,31.690443
2019,12,288.27817,0.008164006,62.76895,3.9038422,14.918144,-79.62629,26.450602
2020,1,287.566,0.0072369035,59.56746,4.042666,21.3001,-82.37158,24.55017
2020,2,290.517,0.0065053515,46.03613,4.1005006,12.509569,-97.600876,21.376678
2020,3,294.43945,0.00828037,47.02266,4.017742,32.283398,-94.798,21.485195
